"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"FDR"
"A1BG"	19.6148026366895	15.5970820182987	31.2534377613929	0.41312498043513	-1.27534979659052	1.96133304956065e-24	1.74013822082419e-22
"A1BG.AS1"	74.4756671154817	72.71286107894	79.5822084118127	0.871910375138158	-0.197748248863399	0.0199804821839557	0.0410237201952351
"A1CF"	2624.64458921901	2886.56473434681	1865.90766087259	1.40303432171661	0.488550301306139	0.00465299853394871	0.0113480508081788
"A2M"	102940.823199059	112088.419586476	76441.8336640846	1.35978646606759	0.443380115789943	3.19943879965622e-08	2.20119029238963e-07
"A2M.AS1"	137.035935331117	138.733645837626	132.117964419406	0.975390842719112	-0.0359476669320158	0.586928793748573	0.690857611323467
"A2ML1"	12.8943721394849	13.5777680828615	10.9146934146241	1.11726012074571	0.159965113503136	0.367092801082642	0.479036960428571
"A2MP1"	28.6534220235504	30.6202251996591	22.9559366324418	1.22407252668078	0.291689040696285	0.00939049157109122	0.0211709114100676
"A3GALT2"	6.28184591423222	6.37178004805157	6.02132243134283	0.939533245638447	-0.0899838821839034	0.553163120956478	0.659252034362143
"A4GALT"	3855.75461897568	4058.68800519164	3267.89203192151	1.15719102992902	0.210627045242344	0.00155410032946803	0.00424351165548048
"A4GNT"	61.1319424288616	62.4031447637778	57.4494912205725	1.05823685389153	0.0816625666688065	0.593460250513512	0.696612483717786
"AA06"	0.0330748555853672	0.0332070760238949	0.032691836061061	0.969294864421219	-0.0449924873199371	0.895827239694442	0.938635790700718
"AAAS"	2235.52503516677	2198.83450108358	2341.81110612207	0.846247995358271	-0.240847583736042	1.39524771173765e-10	1.49095327093962e-09
"AACS"	1564.00342880037	1549.46619812096	1606.11524783197	0.899779945773372	-0.152355882288831	0.00696291852324433	0.0162459219867128
"AACSP1"	131.076278554193	142.958165207766	96.6565275339203	1.25721136390925	0.330227217800863	0.0292776072207499	0.0573746088647614
"AADAC"	19.339517204516	5.62152747534586	59.0781382453659	0.082928239372633	-3.59199272658953	1.53184843233312e-29	2.29269781320238e-27
"AADACL2"	0.447222233889963	0.463004928930095	0.401502522067358	1.0503324325084	0.0708460162973729	0.820744000352113	0.882414641601964
"AADACL3"	0.362302415768206	0.359599577535105	0.370132066205364	0.910374213034826	-0.135468401976685	0.725741706411787	0.808050507490391
"AADACL4"	1.17124705874277	1.21430150716759	1.04652583909944	1.02546296824977	0.0362753938294084	0.874618514737067	0.922609646107385
"AADACP1"	8.76648032020418	9.83475749367489	5.67186787324536	1.46074014362829	0.546699554703755	0.0010871820871804	0.00306977942116354
"AADAT"	261.152319524098	261.155701090137	261.142523717713	0.910163709740531	-0.13580203090726	0.0459128983258165	0.0849777002925893
"AAED1"	1436.60193384636	1517.3382465081	1202.72293288179	1.17560350443378	0.233401564732801	2.52025353129503e-06	1.20936477477328e-05
"AAGAB"	1829.95811216745	1809.74784511735	1888.50372703481	0.89105700430784	-0.166410365495298	0.00184669905672298	0.00495458816538149
"AAK1"	3225.50418646038	3148.52130210905	3448.51016097021	0.848917121541334	-0.236304382307823	4.64681097953373e-06	2.11538721135856e-05
"AAMDC"	1107.49576594486	1120.02662521284	1071.19605457335	0.925666025588172	-0.111436322715732	0.0444401466832528	0.0825469896242411
"AAMP"	6531.4348353424	6625.82338012127	6258.00770165758	0.990057011760548	-0.0144164906890576	0.712626203874951	0.798000039921661
"AANAT"	21.3459615565642	19.310232924908	27.2431119577903	0.658159854806492	-0.603490064532543	2.89382623656277e-07	1.66858390137521e-06
"AAR2"	2831.04762056239	2884.59132251076	2675.94086491828	1.02430837611296	0.0346501154482209	0.270253915510041	0.374757831113679
