"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"A1BG"	16.5204635557584	23.9602176010475	19.7834838387231	0.575999957046073	-0.795859390805574	2.16344548598019e-13	1.46216350775303e-12
"A1BG.AS1"	70.1611158737145	87.5566587529319	63.5011080285284	0.724653090311359	-0.464637588953842	1.149288387058e-08	4.44693305648312e-08
"A1CF"	2304.66768479137	845.126639414205	2863.4633993072	3.38828371475106	1.76055468244082	3.37934279544027e-30	1.50612301959002e-28
"A2M"	95334.3081755957	96220.4093514532	94995.0580111246	0.987267768263731	-0.0184866671925781	0.80854107307727	0.866932103971783
"A2M.AS1"	129.417341199334	129.786328746075	129.276071681438	0.995569230057628	-0.00640645308716069	0.919902756687411	0.940962212094343
"A2ML1"	11.5254473724771	17.019728618948	13.3889088226004	0.555141858525758	-0.849071616324421	3.91358671706778e-08	1.42020946199744e-07
"A2MP1"	27.6388845184907	32.7953852495747	25.6646813814471	0.783877207347161	-0.351300417875767	0.00123891476817812	0.00245346513007017
"A3GALT2"	6.19073977320642	7.40376608191008	5.7263239864456	0.773176486134976	-0.371130331953184	0.0174230675414478	0.0286264996258891
"A4GALT"	3693.52384272396	3797.50044649634	3653.71565727967	0.962174070307818	-0.0556301742267185	0.416071158800415	0.505532339400727
"A4GNT"	55.3539988255657	46.9628848981494	58.5665967292051	1.24467585897837	0.315770081626196	0.0367139569209577	0.0568959949270244
"AA06"	0.0332648109415017	0.0626204426439982	0.0220257976611173	0.747373496938513	-0.420098690538947	0.787956621415215	0.851346891474747
"AAAS"	2162.24482140814	2564.30881187719	2008.31175077142	0.783317334944376	-0.352331209078255	4.20380594722062e-17	4.38357875787516e-16
"AACS"	1470.32835316701	1528.67384043349	1447.99036661356	0.947078637328731	-0.0784438751344492	0.163377417146928	0.221122725142004
"AACSP1"	116.489858634398	100.374259774963	122.659830769153	1.22278315315405	0.29016858080126	0.0491241885429668	0.0741887453353151
"AADAC"	4.8077745740156	6.07479843569058	34.2725293350151	0.697616381110199	-0.519494177666765	0.0723025815456357	0.105539286712422
"AADACL2"	0.471377406850507	0.698964458749697	0.384244078409103	0.563490338711857	-0.827537219914853	0.0252761365833312	0.0403342248475688
"AADACL3"	0.315372064495649	0.649825647077375	0.287575876710507	0.715079866124638	-0.483823711699545	0.316357100000745	0.398313697395654
"AADACL4"	1.21050432555655	1.81628934519037	0.978575203753881	0.544120340001597	-0.878002335464125	0.000724379071684833	0.00148789204730211
"AADACP1"	7.3157541738155	6.85949857197496	8.97066704142713	1.08839639107669	0.12220407799534	0.404196202982736	0.493345674875014
"AADAT"	253.921359822178	258.51543073513	252.162486958362	0.975549259524179	-0.0357133725635686	0.615399595306236	0.70220093211811
"AAED1"	1345.63851150834	1313.22917386667	1358.04665791972	1.03374820824511	0.0478848288324513	0.305993943295215	0.386597966087156
"AAGAB"	1747.83713305482	1922.08494574275	1681.12511334001	0.87500381918824	-0.192638780900214	0.000353324059367335	0.000760798974393277
"AAK1"	3053.09443633351	2959.00630321118	3089.11675015748	1.04393440503497	0.0620310639156427	0.239092489391151	0.310922296546
"AAMDC"	1132.43880917368	1435.72538189389	1016.32337847509	0.708892370896495	-0.496361491062682	6.93333720725136e-15	5.60324467988309e-14
"AAMP"	6145.44306186026	5910.49284131204	6235.39543201301	1.05495263269984	0.0771782234792225	0.0512559907291592	0.0770986205549171
"AANAT"	21.1341076682281	29.6232635067152	17.8839737186359	0.604954705152748	-0.725100967537818	3.39353961269276e-09	1.40258145043237e-08
"AAR2"	2673.53788930302	2771.30386703816	2636.10748639871	0.951415047883077	-0.0718532512828035	0.0140050178533183	0.0234003585584429
"AARD"	44.7385078019169	62.5199500349823	47.5634018828588	1.27298207674996	0.348212106618704	0.0368683642220203	0.057094840855245
"AARS"	8190.68028445233	8547.46497837138	8054.08271592332	0.942272773333359	-0.0857833367800914	0.0877611810954326	0.125955533748213
"AARS2"	1199.14747486036	1184.48567998472	1204.76084775561	1.0169208572609	0.0242074045836762	0.559183147157225	0.649636068866235
"AARSD1"	270.672480323327	314.165518324264	254.020860060112	0.808508390135265	-0.306665349829448	7.04966191763899e-07	2.20200147140581e-06
