"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"FDR"
"A1BG"	20.4389345470858	20.071627986557	21.3983173544372	0.837407101583815	-0.255998942063136	0.0731621098117869	0.104158661937929
"A1BG.AS1"	74.8719124378606	71.5438927337109	83.5645012173561	0.743369589077279	-0.427848425499654	1.61780527811674e-07	5.55030269029202e-07
"A1CF"	2582.18812536619	3288.51708510158	737.299051430468	3.4989986877108	1.80694212349932	4.32207083604791e-26	1.12771379803449e-24
"A2M"	102831.202544059	108222.769550432	88748.7514080124	1.01878811920071	0.0268540405490918	0.7296821561468	0.784856306219185
"A2M.AS1"	137.84346588966	144.228568539438	121.165958968598	1.02301796201432	0.032831475954689	0.619545917839083	0.684674014953981
"A2ML1"	16.440289539018	17.4082453510319	13.9120467464445	0.813811127855877	-0.297234087278972	0.0904054428629195	0.12577162317996
"A2MP1"	28.3376514355356	28.1819397590725	28.7443610382377	0.806966467027892	-0.309419370402533	0.00385443341223777	0.00705633780016154
"A3GALT2"	6.40385205109828	6.33025944166705	6.59607155334402	0.800577832642049	-0.320886425677202	0.0328822696822847	0.0505543137868048
"A4GALT"	3869.03174886717	4060.3341420956	3369.36131879293	0.99058003084124	-0.0136545569926616	0.842275485662479	0.883867547669556
"A4GNT"	59.5887444387943	65.016763509364	45.4110826873064	1.27689069206618	0.352635028749557	0.0213697437610957	0.0341233321636137
"AA06"	0.0327592929230411	0.0232813897955521	0.0575150100470797	0.766615680758579	-0.383424586807279	0.0372118366630661	0.0565162153540535
"AAAS"	2225.6068002753	2208.87021566036	2269.32176009042	0.80858509919065	-0.306528477379451	3.98742019896129e-14	2.98946229790595e-13
"AACS"	1563.53597166658	1609.82789207014	1442.62423926921	0.974394578227572	-0.0374219891328093	0.508109523030019	0.577302529985113
"AACSP1"	127.22289637567	140.902301432643	91.4931070477568	1.26391824598608	0.33790314870099	0.0237468396555671	0.0375845270687177
"AADAC"	20.6351577223645	26.4609479224822	5.41854152802725	5.39041452902562	2.43039622213808	2.38479978676927e-08	9.08062675168147e-08
"AADACL2"	0.426609347091528	0.385939739910917	0.532835933011033	0.647465903179067	-0.627123875230568	0.0346462595578629	0.0530024548926834
"AADACL3"	0.361056863511471	0.293482881306226	0.537556070763976	0.543878513749672	-0.878643662500364	0.0163272116739448	0.0266166826593756
"AADACL4"	1.20663181172461	1.06926128611054	1.56543542340318	0.595434627333342	-0.747984971347263	0.00120117780505077	0.00240019114849854
"AADACP1"	8.68851386382478	9.5803281221633	6.35914826368683	1.32398401139842	0.404885700079049	0.01323593811765	0.0219797118179967
"AADAT"	262.559294661659	277.255681768063	224.173208935979	1.00163583666145	0.00235808524345253	0.974067855057455	0.99340994908163
"AAED1"	1449.02927193943	1535.43888400854	1223.3325239977	1.05952103223377	0.0834122265002646	0.0901970169824086	0.125524610741748
"AAGAB"	1815.65904155534	1859.0059794548	1702.43942763884	0.90433474471037	-0.145071201514503	0.00692213733633499	0.0120882220799734
"AAK1"	3233.12224579822	3422.56116558409	2738.31909710377	1.07254837809607	0.101042723030355	0.0587972553025198	0.0854782760164337
"AAMDC"	1110.85322702868	1102.86681077534	1131.71326948143	0.74232993229619	-0.429867552389787	2.84637056853347e-12	1.70782234112008e-11
"AAMP"	6568.05316764155	6995.69865178426	5451.06869413445	1.08391020538123	0.116245244129919	0.00510494191342098	0.00915028152250038
"AANAT"	21.764911018379	19.9493417614006	26.5070695254122	0.625337812312735	-0.67729233953381	1.04040382931697e-08	4.12375171730572e-08
"AAR2"	2776.44802805533	2894.05711172186	2469.26012295617	0.980116480851817	-0.0289748799847832	0.361882777782471	0.430721190748947
"AARD"	55.0134874482599	53.0064860257481	60.2556553428805	0.794350795091509	-0.332151834906318	0.0583294410609211	0.0848238581379489
"AARS"	8734.74372839504	9059.93918405875	7885.35261285548	0.969665232967664	-0.0444413373788152	0.382848866095233	0.452869517904349
"AARS2"	1274.67592847567	1345.54010676551	1089.58292547982	1.04578601159339	0.064587677974942	0.133808748247794	0.178304469207624
"AARSD1"	279.879131649878	278.181396040445	284.313515704367	0.832293191901149	-0.264836258840293	1.80320909485282e-05	4.71754306466802e-05
"AASDH"	663.335017376033	727.891818338773	494.71650739873	1.23311345090162	0.302305539013719	1.59974804956819e-12	9.8803679537381e-12
"AASDHPPT"	3110.4140373089	3429.08424237119	2278.06648677308	1.27992995466395	0.356064859581495	2.18179627354022e-15	1.88148115550679e-14
"AASS"	627.953658535198	688.778944145162	469.081643882309	1.25527049809496	0.327998283865361	7.73591541785742e-05	0.000185170126112686
"AATBC"	43.3388996697408	42.0564984518687	46.688455089556	0.793468677960045	-0.333754820842152	0.00253790536292878	0.00480219803257663
"AATF"	3596.20531201528	3679.9429154544	3377.48769109221	0.929634377608438	-0.105264674716167	0.0133008852638965	0.0220740406053074
"AATK"	361.421402931809	363.258650027784	356.622623203516	0.865927656093675	-0.207681594825172	0.0170119957548321	0.0276480346702341
"ABALON"	46.0262048913607	49.9300165690027	35.8296818527437	1.1934183924776	0.255099916404442	0.0018355201843665	0.00356324901868426
"ABAT"	1474.409755265	1718.86653957746	835.903229075752	1.81962042988376	0.863637537767332	1.81520585276932e-14	1.41617403211258e-13
"ABCA1"	7509.43966710946	8443.85823006207	5068.79416686009	1.39491185213789	0.480173957537219	1.4816959113024e-09	6.47571720747644e-09
"ABCA10"	109.33013779051	104.43491644387	122.116163695913	0.684615598086255	-0.54663393221339	5.02172099793777e-07	1.61430894011978e-06
"ABCA11P"	60.1081371272913	57.276446430951	67.5043441699711	0.704512998325266	-0.50530177025961	3.15788422368692e-11	1.68761760177582e-10
"ABCA12"	551.115614578303	662.740212465333	259.558829052477	2.17666199562892	1.12211739508261	3.33176636668482e-13	2.24349357663933e-12
"ABCA13"	21.1505283341746	15.3931786455648	36.1883819984541	0.403794929969109	-1.30830529851798	7.81743284292277e-11	4.0032345011743e-10
"ABCA17P"	154.630144957957	125.477855216779	230.774185326707	0.474310259724326	-1.07609701944205	9.3584191065992e-14	6.71691652028814e-13
"ABCA2"	4979.73552621857	5084.42194739334	4706.30084404567	0.91638629460871	-0.125972212901153	0.0408478952814442	0.0614873359218926
"ABCA3"	4185.76306108098	4531.3443235079	3283.12543533903	1.15944386564928	0.21343297374863	0.00273722646155865	0.00514741206784745
"ABCA4"	102.757877343923	44.6565434891119	254.515092636339	0.158178857467451	-2.66037131596962	3.39069524603104e-79	3.06368152674715e-76
"ABCA5"	1786.27663088545	1840.6385816708	1644.28646092372	0.92851234772465	-0.10700699906951	0.11145226206152	0.151534826130125
"ABCA6"	274.519408058726	310.137376857164	181.487400003104	1.3803447180723	0.465028601024582	0.00536547106896577	0.00957892661533032
"ABCA7"	768.78934789556	722.713865901903	889.135756087946	0.633273439706603	-0.659099522676966	1.57548685830507e-14	1.23985733532937e-13
"ABCA8"	443.129062201192	482.737255930558	339.67482484837	1.21426246407119	0.280080295306587	0.047532819228278	0.0705402188632563
"ABCA9"	147.248687700537	141.80724857295	161.461401839758	0.749409493740447	-0.416173840618381	0.000641383164028305	0.0013410339106646
"ABCA9.AS1"	1.80234671244575	1.6562449770011	2.1839557229355	0.662517841395276	-0.593968788481291	0.0010441391086152	0.00210780452575726
"ABCB1"	2402.70473669778	2918.60730577408	1055.19802642385	2.39832269414716	1.26202578632704	3.84124400641707e-20	5.41995308158188e-19
"ABCB10"	1432.48147440247	1628.86172089773	919.547994750686	1.5014801575415	0.586385409423444	3.17203290994149e-35	2.02578311180452e-33
"ABCB11"	8.41832208197457	10.7526990273584	2.32106886641971	4.34859697117163	2.12055000573564	1.549801870781e-08	6.02437323766306e-08
"ABCB4"	399.120801486992	456.064031669097	250.388483847167	1.51423254165319	0.598586777931365	1.93451598561968e-05	5.04214230610872e-05
"ABCB5"	62.9596925414652	79.4234594209643	19.9573163636692	3.70368308261542	1.88896065510461	1.21487433159252e-08	4.77725244898955e-08
"ABCB6"	691.654840843251	742.114150109522	559.858137535828	1.08443803224066	0.116947615819465	0.162721954053549	0.212309594132548
"ABCB7"	1534.25163688639	1673.17906323157	1171.38149344747	1.16786241813709	0.223870325277427	6.94894539863955e-06	1.92494022565382e-05
"ABCB8"	1638.82374507222	1636.74974642411	1644.24090572027	0.808936709171035	-0.305901263600453	7.52641468488816e-07	2.36677510508548e-06
