"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"A1BG"	16.1361028327515	21.3299730827503	14.5045989213686	0.684067272746941	-0.547789884855162	3.98473283410211e-06	1.53581967305415e-05
"A1BG.AS1"	71.6341401409316	88.2773606508122	66.4061544476261	0.753120782395608	-0.409046837972226	3.43042248217106e-06	1.33586646368817e-05
"A1CF"	2461.26273009357	1321.87315898695	2819.16896424522	2.13265674417449	1.09265177940191	4.93477650840098e-11	4.35600637708716e-10
"A2M"	98086.7592786645	91095.6220195541	100282.822567549	1.10085208072118	0.138620629895387	0.0778378347232679	0.125187902786868
"A2M.AS1"	133.206491902214	129.633650724727	134.328796479581	1.03575250606481	0.0506793110078247	0.454746420847841	0.571812914160831
"A2ML1"	11.6782300732263	16.7443108495544	14.1967060960821	0.599762751058835	-0.73753617009888	1.28161630243968e-05	4.49939867753659e-05
"A2MP1"	28.6486231645929	31.6276327098896	27.7128535956092	0.877297335971833	-0.188862207256328	0.111111161576434	0.170786307370407
"A3GALT2"	6.06482178527716	7.12420757417672	5.73204642219344	0.808358653020803	-0.306932564123911	0.0612315307336006	0.101385527401286
"A4GALT"	3744.32307775595	4093.84219212176	3634.53177093787	0.887848470023001	-0.171614623492866	0.011275320189636	0.0222912885635242
"A4GNT"	57.9269537592396	54.7289775592556	58.9315053609637	1.07661781020318	0.106506196789202	0.506017407735801	0.623416347628227
"AA06"	0.0300505095035599	0.056242717934768	0.0218229858176761	0.795363478815533	-0.330313776321524	0.854616480922271	0.92101091068118
"AAAS"	2164.44514763337	2527.47046459892	2050.41125844246	0.81125639459363	-0.301770149927008	6.68733843473854e-15	1.13416128802268e-13
"AACS"	1508.53871743875	1716.59830207974	1443.182824857	0.840569153393988	-0.250561580417541	2.13433068830958e-05	7.16285069653582e-05
"AACSP1"	126.614330170592	97.0340849092164	135.906107500534	1.40096603318696	0.486421977648258	0.00154926650491225	0.00369191481406261
"AADAC"	3.13815930014948	13.1801391432973	4.71798480958683	0.616321864642542	-0.698244121804803	0.0101917323200116	0.0203277167257915
"AADACL2"	0.484741507327511	0.762964002838025	0.397345968391932	0.500495472879205	-0.998571075345091	0.0121509283819845	0.023851895794522
"AADACL3"	0.319239480827114	0.767428515521685	0.281286286323278	0.665516337735766	-0.587454011648688	0.260566352068377	0.357668084976778
"AADACL4"	1.25454432263301	1.77073389488467	1.09239831866923	0.597334616482677	-0.743388764233218	0.00702409045992051	0.0145662870321798
"AADACP1"	7.28693946272277	10.746056483091	7.73322256979055	1.32167748177579	0.402370170635933	0.00779079662048707	0.0159772740919167
"AADAT"	252.240676211354	239.411157575004	256.270697915567	1.06979574820899	0.097335374967956	0.15199505686628	0.22453581968841
"AAED1"	1383.90263960028	1311.58122798995	1406.62031644618	1.07243177909695	0.100885876080133	0.0366729904421634	0.0642431349527663
"AAGAB"	1764.38626554915	1811.14007877476	1749.69990923332	0.965800572936677	-0.0502027755343235	0.375069519650238	0.487019696768243
"AAK1"	3109.40182293703	3011.77732026939	3140.0677329969	1.04255084029457	0.0601177388281397	0.275580305529976	0.374779514758105
"AAMDC"	1085.85526945562	1208.51208595248	1047.3261830056	0.866859595007772	-0.206129755407423	0.000270573354633783	0.000743080948603975
"AAMP"	6304.38264239273	6284.77521080598	6310.54174914477	1.00406056926455	0.00584630150172292	0.878827758208369	0.936954274090401
"AANAT"	20.9285131217101	31.5726703901345	17.5849593976229	0.560391847563334	-0.835492126922879	7.08847985522028e-11	6.05793168308705e-10
"AAR2"	2730.63468753243	2804.33234719518	2707.4847022205	0.965253573894723	-0.0510201040671352	0.0753306254948383	0.121647106834783
"AARD"	45.4886450766024	82.9759320565229	43.7250228706779	0.855394461018925	-0.225338229602506	0.217197223523115	0.305926980060124
"AARS"	8311.34333865569	8800.04647714813	8157.83140178054	0.926975686723948	-0.109396595413892	0.0335899507981246	0.0594044500226092
"AARS2"	1245.05308148962	1295.46267268139	1229.21836840633	0.948992779523925	-0.0755309844425108	0.0782135788243024	0.125737340546804
"AARSD1"	275.860535450159	314.07072801165	263.857910121045	0.840601718637886	-0.250505688756956	6.60509184152589e-05	0.000203688032109382
