"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"A1BG"	16.4488097000782	34.1824759362888	14.3235174499124	0.692694615472211	-0.529708635521813	6.81217419265818e-07	1.95147295895262e-06
"A1BG.AS1"	70.3496173123474	82.0520061260672	64.7588618256741	0.788946735304006	-0.342000193009518	1.63908391503576e-05	4.01646172681606e-05
"A1CF"	2342.23473792991	1242.53119487652	2867.61239499696	2.30782628408526	1.20653463276985	1.53941154191394e-15	1.09583261299393e-14
"A2M"	94103.2460090941	81999.7562534131	99885.6253879209	1.21812528643164	0.284662524720483	6.33612469043263e-05	0.000144520459288494
"A2M.AS1"	128.724947113408	126.597010298734	129.741557876501	1.0247296463735	0.0352433348200798	0.556272344156589	0.634859966340293
"A2ML1"	11.5260052254063	13.9240952903439	14.4974252240557	0.748633218880344	-0.417669028948919	0.00506646513797369	0.00893158398669671
"A2MP1"	27.9604197982281	28.5445366818236	27.6813609903382	0.969121412345583	-0.045250675876253	0.665229084470105	0.73346408234466
"A3GALT2"	6.10222434147526	6.1865338181212	6.06194592681651	0.980852261014086	-0.0278922452456956	0.849967155717718	0.880440350654587
"A4GALT"	3700.19545871469	3551.81775359245	3771.08213682947	1.06179406383723	0.0865039809342986	0.170442904141215	0.227074430085415
"A4GNT"	56.1683918523467	43.0854463022065	62.4187011507816	1.44567841736123	0.531746668972742	0.000152049115785239	0.00033113012068554
"AA06"	0.0327079975487816	0.0578821064101549	0.0206811977663451	0.770862957639689	-0.375453691176144	0.802061283958093	0.84396454365581
"AAAS"	2169.44227444761	2523.09450183668	2000.48675928548	0.792988545513592	-0.334628068113327	1.80924776601324e-17	1.5817516117312e-16
"AACS"	1472.75314122751	1627.31992720306	1398.9096618742	0.859584553980013	-0.218288535919533	2.06957734155295e-05	5.00793163991363e-05
"AACSP1"	120.686181636692	96.0433058183311	132.459187591458	1.38058215740657	0.465276744178211	0.000695755487780717	0.00138476461121955
"AADAC"	5.23652724732073	67.8673723484302	5.62788477637624	0.221976107843278	-2.17152369286592	9.61881306102547e-17	7.79176672290687e-16
"AADACL2"	0.483205713232348	0.805957143331704	0.32901289351129	0.414719715156587	-1.2697914624432	0.000167515255088409	0.000362803706428287
"AADACL3"	0.382420165068541	0.649286614628008	0.25492610459651	0.422568820800046	-1.24274177280289	0.00836482225084662	0.0142564353235548
"AADACL4"	1.19350262607305	1.56604262837324	1.01552357452904	0.646829807701506	-0.628541931177413	0.0113208725317919	0.0188721183695584
"AADACP1"	7.33185436706128	10.0708902339403	7.5586823766523	1.10901944643087	0.149284663086107	0.276987257001782	0.349136765180064
"AADAT"	253.262507884614	266.069363963088	247.144098897569	0.928439456174493	-0.107120260251375	0.098167544347748	0.137808200079012
"AAED1"	1339.67019997971	1200.96156393821	1405.93753055146	1.17033124735125	0.2269169240603	1.05070206512988e-07	3.28849406621463e-07
"AAGAB"	1734.59373617976	2057.56741204905	1580.29473969622	0.768236285138497	-0.380377988408263	1.97908666227805e-15	1.39119537412369e-14
"AAK1"	3042.43448030416	3163.94241079139	2984.38469748979	0.943213620132919	-0.0843435437067251	0.0860068515889936	0.122285973482604
"AAMDC"	1127.17613032003	1298.88516557294	1045.14303039209	0.805865809106942	-0.311388470344634	3.63031839378878e-07	1.07224306413143e-06
"AAMP"	6145.5077231157	6037.61680714624	6197.05204795572	1.02639753793811	0.0375896148925971	0.308985020714801	0.384400497900688
"AANAT"	20.9779102098424	29.6650411226577	16.8276785274589	0.56928840219125	-0.812768386114925	3.60859001033817e-13	2.02041667917534e-12
"AAR2"	2670.30668848262	2740.20180880061	2636.91465770756	0.962483617088997	-0.0551661108112815	0.0456725713097226	0.0685433068858125
"AARD"	43.0487679359342	60.2298517894661	44.8300871066849	1.13969799726591	0.188651582663372	0.239031440417596	0.306365702940618
"AARS"	8146.62875533712	9121.38767673971	7680.94274244153	0.842074079792748	-0.247980937785179	8.02748948782591e-08	2.54518320161357e-07
"AARS2"	1201.30455222833	1231.68563523554	1186.79014758691	0.963371434570654	-0.0538359484320998	0.172332744413512	0.229372113441271
"AARSD1"	272.740355138696	292.337318200738	263.378007800451	0.901063284600929	-0.150299660131913	0.0111969497238198	0.0186853303804005
"AASDH"	620.711517680963	564.702044454819	647.469752664373	1.14527687172032	0.19569641331899	1.71120588799245e-07	5.23225582721009e-07
"AASDHPPT"	2897.75689707281	2663.74568394545	3009.55453895265	1.12964916002218	0.175874778226849	2.48777124866919e-05	5.95516076714696e-05
"AASS"	570.213942706992	438.902318318793	632.947389373165	1.44124597566399	0.527316579500492	1.60515189051333e-12	8.38822456842312e-12
"AATBC"	40.0009961756512	42.3576171591641	38.8751327384239	0.915241654906739	-0.127775380664616	0.205800929976199	0.268690871243816
"AATF"	3411.9420664758	3581.43461665676	3330.96788078103	0.93012707367822	-0.104500264643383	0.00719866425676545	0.0123887773243619
"AATK"	334.311166675418	285.354453363728	357.699982233822	1.25424087579481	0.326814442990824	8.31670866056601e-05	0.000187003151012251
"ABALON"	43.2633874000076	49.1229359662075	40.4640185004284	0.819333433267854	-0.287477409044313	0.000106994227709759	0.000237301394821842
"ABAT"	1438.19817832941	1401.14166821417	1455.90173360701	1.03904631121745	0.0552599578752105	0.608305508086445	0.682756479405665
"ABCA1"	7048.10671596861	7061.11680493813	7041.89121352323	0.997241590310565	-0.00398504270016776	0.957459317488202	0.965104927376762
"ABCA10"	108.614911352005	112.7556877725	106.636676919662	0.946578386998398	-0.0792061131514634	0.462436484085573	0.544701257826344
"ABCA11P"	58.7661776555732	66.0920260496579	55.2662916275387	0.836581597974664	-0.257421831070705	0.000691947190071915	0.00137776578841397
"ABCA12"	538.232325477512	482.555416294831	564.831679716122	1.17029449891064	0.226871622676155	0.106539320609541	0.148509546651011
"ABCA13"	20.1470166282594	36.9775857875932	12.1062996114857	0.326831223109275	-1.61338228009047	2.62348432191608e-16	2.02575555835228e-15
"ABCA17P"	157.197290426281	239.579506254227	117.839614615304	0.491709137857315	-1.02412292862667	1.74536344530922e-12	9.08273900496563e-12
"ABCA2"	4716.44956905873	4941.44193865405	4608.96063284256	0.932756516655083	-0.100427560495932	0.0823972760935352	0.11764987310597
"ABCA3"	4115.12038469521	4684.37260657414	3843.16309175008	0.820442480407054	-0.285525902087222	1.6997051867405e-05	4.15896557821183e-05
"ABCA4"	61.1697304680123	73.1282935911782	116.215609296849	0.87102234550387	-0.199218364198588	0.142231828566364	0.192875412955077
