"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"FDR"
"A1BG"	19.9903044293357	20.5072706552463	19.2846822821211	0.98751121173891	-0.0181309669347637	0.887960171784111	0.923545205953494
"A1BG.AS1"	74.1320065405644	83.0756552362386	61.9245618753787	1.30045641033795	0.379018042769403	8.68657156022546e-07	3.15447454276958e-06
"A1CF"	2554.58991872678	2413.84549956903	2746.69604534968	0.856113083549791	-0.224126720806339	0.138218961533425	0.19162299173549
"A2M"	100819.372599752	87450.0635930415	119067.528969101	0.734775382600125	-0.444624802672795	3.36247743759912e-11	2.03601388850008e-10
"A2M.AS1"	135.63901426181	138.982764930627	131.075032306267	1.02647440687011	0.037697657118339	0.52617969787544	0.601889403288235
"A2ML1"	12.9917155478199	15.0937149152931	10.1226358424536	1.26011518776275	0.333555617231951	0.0357087378073517	0.0575434551521337
"A2MP1"	28.4513013614598	36.4527751356402	17.5298584848533	1.99051753308213	0.993143579180703	1.22970330677676e-26	2.11117817537832e-25
"A3GALT2"	6.1109497636895	8.19242823961893	3.26987961644933	2.39796096174762	1.2618081722002	4.77350301263097e-22	6.59798184114137e-21
"A4GALT"	3792.75552368528	3726.27842710099	3883.49203466289	0.97175346291312	-0.0413377511665394	0.487355620478091	0.565199073834546
"A4GNT"	58.658538245915	78.4253042057093	31.6783079311246	2.42255495426274	1.27652939271697	7.46197740339584e-23	1.07526521401799e-21
"AA06"	0.0306299015611332	0.0497744054744755	0.00449901470311144	1.33612417272086	0.418054090928727	0.00293333618554227	0.00601700205137067
"AAAS"	2209.4490235304	2421.11339041368	1920.54220996459	1.26072320290491	0.334251560653508	6.76919493594515e-21	8.7515251540709e-20
"AACS"	1557.07851231845	1512.19737272867	1618.33807725615	0.913956355892238	-0.129802820896351	0.0105353667592418	0.0191321131054387
"AACSP1"	124.446679054106	146.304165349531	94.6127641105879	1.49333490807146	0.578537752900352	1.23313091056219e-05	3.80273817394453e-05
"AADAC"	19.2068899216724	9.00424179460169	33.1327793083851	0.201571981994693	-2.31063297314488	4.97323632406863e-12	3.28710575350794e-11
"AADACL2"	0.433170495854966	0.529617806457064	0.301526773326984	1.62170241220715	0.697509104498362	0.0100246959100809	0.0182905154006682
"AADACL3"	0.346099546438675	0.443816546108565	0.212722788595413	1.59609172108099	0.674543559922725	0.0469124839342797	0.0735336004922055
"AADACL4"	1.16368158984143	1.44338556461302	0.781905548447037	1.56572282239564	0.6468288370552	0.00266656584785686	0.00550834381238915
"AADACP1"	8.78377234600903	9.40129678247132	7.94089539007947	1.06571934397031	0.0918275559463536	0.524915128471097	0.600733192953084
"AADAT"	265.806390376577	274.886754952479	253.41233825402	1.0293289821558	0.0417041533399669	0.515214319311631	0.591017469973506
"AAED1"	1413.01842441896	1332.61573454372	1522.76238026763	0.83449521729	-0.261024313737801	6.75152870947352e-10	3.56053381747333e-09
"AAGAB"	1834.73833508145	1820.78196809504	1853.7877838591	0.944963378262395	-0.0816696756309012	0.0948564326109001	0.13767952938931
"AAK1"	3269.33746581652	3213.08874983396	3346.11296440884	0.932071216588139	-0.101487904070818	0.0350934036040577	0.0566791575190065
"AAMDC"	1104.57272184578	1075.12662145456	1144.76455555512	0.954913415522447	-0.0665581687121654	0.242832913856517	0.312356414976463
"AAMP"	6435.38548144664	6304.55150402319	6613.96455963599	0.939149218856577	-0.090573692917713	0.0103341096356172	0.0187960142153521
"AANAT"	21.1657110549397	28.6573607294726	10.9401418309328	2.47376249322437	1.30670699332325	7.24958150682265e-38	2.07827015793708e-36
"AAR2"	2786.35707739365	2622.6421714336	3009.81628552871	0.858994114582938	-0.219279848146553	8.47200134556435e-18	8.99012374190465e-17
"AARD"	52.0529523946934	47.4566320419642	58.326602923537	0.797553618043334	-0.326346583050654	0.0419350869291775	0.0664061676043344
"AARS"	8634.59167208663	8350.45786833396	9022.41411512345	0.907441623669184	-0.140123258337493	0.00180453534672713	0.00384435850399538
"AARS2"	1271.77139744255	1339.399416737	1179.46395878472	1.11292102359663	0.154351218099353	7.43700697524999e-05	0.000202650756358984
"AARSD1"	279.295517663448	341.228812224265	194.760973428778	1.73115841598497	0.791737749833739	5.44009434337788e-70	5.62358227123079e-68
"AASDH"	665.660386450177	680.591467500862	645.280522267252	1.04911520984987	0.0691731179078584	0.0900260591464293	0.131411221141404
"AASDHPPT"	3074.50333418699	2888.48706900941	3328.40231224929	0.826799682790554	-0.274390259627368	1.39189854026017e-12	9.657780656481e-12
