"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"A1BG"	16.0812480091171	37.558808535876	14.6064221687032	0.719717237170114	-0.474497883690553	1.41257446627239e-05	5.52560984096277e-05
"A1BG.AS1"	70.7461704328456	79.4830265879789	67.7301598149092	0.851053584792525	-0.232678123868402	0.00556704440444195	0.01252764573077
"A1CF"	2340.26449537106	1834.26614467459	2514.93789862518	1.37107930985292	0.455312025983757	0.00670682598618185	0.0147973101166519
"A2M"	95011.0014399138	76378.4965466645	101443.044224981	1.32816094429502	0.409429980621065	5.77819688883654e-08	3.58913095516992e-07
"A2M.AS1"	131.265025687768	136.329891174249	129.516606369147	0.949372648832679	-0.0749536081723225	0.240968746796448	0.335147747216064
"A2ML1"	11.1376472320456	13.1438188986359	14.2843769391835	0.800920847861662	-0.320268421591557	0.039689708928922	0.0713313579735647
"A2MP1"	27.7757205339682	24.3581159744343	28.9554963545196	1.18918403686075	0.249972002316818	0.0251188794434261	0.0476047174405547
"A3GALT2"	6.07602425568647	6.53470283091172	5.91768589821144	0.908557850657588	-0.138349716696926	0.377446681343721	0.485034923733199
"A4GALT"	3763.26861429804	3455.15526599167	3869.63103042572	1.12006805630101	0.163586394340931	0.0127691114192151	0.0262276946998048
"A4GNT"	56.7371079365192	55.4818103651108	57.1704435365122	1.02895034745717	0.0411733658998776	0.787706164643454	0.850017808890832
"AA06"	0.0330840860183737	0.0411112875933271	0.0303130520500336	0.891566196634682	-0.165586176441341	0.917714567315362	NA
"AAAS"	2184.3219506213	2525.63074281037	2066.50028537247	0.818305206650232	-0.289289063460528	4.86825685431766e-13	7.66479995840902e-12
"AACS"	1504.94160431757	1656.50755418014	1452.62020792665	0.876844502505972	-0.189607073601488	0.000805804799337622	0.00219423569668299
"AACSP1"	123.139270899319	107.114146669068	128.671231592502	1.20255458860624	0.2661023849924	0.0747520760679117	0.123977985999392
"AADAC"	3.39802688379334	77.0770073224831	5.9389479902753	0.96264479118791	-0.0549245424330218	0.838710129391076	0.887567030132304
"AADACL2"	0.475291871095542	0.465500267878098	0.478671986178824	0.999192175981295	-0.00116591469607376	0.997573451985454	0.998939327035653
"AADACL3"	0.385822729014671	0.422500154322786	0.373161480826116	0.842406241225426	-0.24741196983473	0.632742828146853	0.725108441151711
"AADACL4"	1.20083752515255	1.22359475369383	1.19298160516296	1.01979628729501	0.0282809907641205	0.917736589630164	0.944475702121121
"AADACP1"	7.01846584111889	6.45123280136497	9.07617798187725	1.47660007541756	0.562279137315722	8.59782445144945e-05	0.000284071518454185
"AADAT"	252.568710540241	278.351894546745	243.668214143475	0.876145534927013	-0.190757561729558	0.0045728471811329	0.0105083713045454
"AAED1"	1359.18647833883	1225.75976345753	1405.24611142115	1.14629696116309	0.196980838945121	2.10930046860094e-05	7.94254446505904e-05
"AAGAB"	1746.77936681475	1928.9326124158	1683.89906833329	0.872853764850326	-0.196188125336315	0.000283232767841524	0.000846041279644669
"AAK1"	3025.04472486475	3457.02437110718	2875.9229839701	0.831859809168935	-0.26558767909108	1.39122019835497e-07	8.03611320690544e-07
"AAMDC"	1101.33644407077	1198.90674107344	1067.65464291369	0.890968437623934	-0.16655376941396	0.0032424457488396	0.00773981154113407
"AAMP"	6249.81984183763	6412.14426889725	6193.78456016773	0.965942687088894	-0.0499905036581842	0.178874353861671	0.261287246359887
"AANAT"	20.7039432954621	28.2345874010607	18.1043236864062	0.639548862710399	-0.644873507012706	1.49010712345848e-07	8.54418530679077e-07
"AAR2"	2709.42177774981	2716.19146710696	2707.08484388954	0.996668847009117	-0.00481386021168859	0.864938076498705	0.906521637868835
"AARD"	43.0597821317292	52.1713500442251	49.2732793611741	0.764227485169163	-0.38792595024586	0.0219461094093421	0.0423493227107502
"AARS"	8259.87972766486	9000.4173097089	8004.24209660309	0.889316146006108	-0.169231716107986	0.000619520298053259	0.00172785880150861
"AARS2"	1215.58651278657	1267.45285467663	1197.68196736698	0.944683753537131	-0.0820966476307029	0.045140170175105	0.079686828483219
"AARSD1"	273.202959216422	281.396393602201	270.37454077092	0.961274843149734	-0.0569791163764568	0.344673218200427	0.450971329815333
"AASDH"	625.296747162554	572.211532458085	643.622054156426	1.12383318772991	0.168427910029794	2.35485264163424e-05	8.78834882158542e-05
"AASDHPPT"	2891.98648529806	2844.11685251386	2908.51134483453	1.02243498530502	0.0320091078514892	0.420523891959674	0.528789294089551
"AASS"	575.58644358011	440.605315809077	622.182668509289	1.41189806329086	0.497635932168933	7.24153900461497e-10	6.34145122876132e-09
