"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"A1BG"	16.2962967289171	29.4432901189919	13.7530663505121	0.707867281297653	-0.498449201474963	5.70840341357793e-07	2.06967638023785e-06
"A1BG.AS1"	69.5269719988239	75.2394141048928	65.1467602072445	0.865545909425589	-0.208317751269965	0.00473162148652754	0.00908589125118346
"A1CF"	2312.6035858597	1558.04504479332	2891.18734349717	1.8555639148578	0.891857695489918	6.94311525445543e-10	3.78639509481132e-09
"A2M"	94014.1472494016	88367.7160498592	98343.7429041743	1.11289409817925	0.154316313883133	0.0239481591403534	0.0397857879342789
"A2M.AS1"	128.36663725308	130.306763166325	126.878978867305	0.972711408411148	-0.039916256387552	0.475086887225253	0.556440346401353
"A2ML1"	11.4042431221412	20.6461801467877	9.20760927938809	0.649125590120024	-0.623430463019745	6.52271272402195e-06	2.02421276307225e-05
"A2MP1"	27.5497996374669	29.1274494707625	26.3400822741272	0.903882833426283	-0.145792320687253	0.141089966067015	0.19474354120882
"A3GALT2"	6.10245710198622	6.31890365524745	5.93648925019227	0.941568282849863	-0.0868623715223658	0.534382031806256	0.612071370852636
"A4GALT"	3708.81744744655	3904.98431408647	3558.39974405127	0.911285135486607	-0.134025559861969	0.0199515041239011	0.0336755309594389
"A4GNT"	54.8516252921061	50.846078184761	57.9230165369609	1.13772282404148	0.186149126109369	0.166403105208338	0.225486147307083
"AA06"	0.0315249503682536	0.0535419585529169	0.014642650806162	0.802431340878851	-0.317550139924946	0.822463464707442	NA
"AAAS"	2163.96833456958	2482.14395967927	1919.99621213564	0.773697408880861	-0.370158652628832	2.16122509102811e-27	1.13914777633939e-25
"AACS"	1476.2602576903	1563.64149858508	1409.25768074978	0.901211705843022	-0.15006204201975	0.00225012308190584	0.00459172748851039
"AACSP1"	122.206831813882	120.728999700164	123.340010501786	1.02192468931693	0.0312888808622468	0.812501750325304	0.847976094933796
"AADAC"	3.76783756057184	49.7161035380704	5.47170269074444	0.668949347740935	-0.580031119490744	0.0179803666459655	0.0307000962087511
"AADACL2"	0.461623388070409	0.553044245756399	0.391523295781151	0.675430389166789	-0.566121003913419	0.0849323632721956	0.123795272677501
"AADACL3"	0.371664106138192	0.563181930137881	0.224811216357512	0.475072728341908	-1.07377970399876	0.0174008732991758	0.0298052266836649
"AADACL4"	1.19431249189028	1.49888046290348	0.96077450704976	0.638382294394283	-0.647507456083668	0.00593943576504133	0.0111751995582445
"AADACP1"	7.16505615141069	9.3038861429655	7.35292306326216	1.06771985314578	0.0945331643522556	0.46697271888414	0.548825769111139
"AADAT"	253.466000550747	276.241333985266	236.002228977282	0.854097196703176	-0.227527836256456	0.000167259894484539	0.000415751068694569
"AAED1"	1327.658895536	1219.10353617161	1410.89745731011	1.157093812281	0.210505836810072	2.03816127654067e-07	7.85754977971917e-07
"AAGAB"	1748.90530884727	1969.79873745109	1579.52766217932	0.802043778124081	-0.318247109131377	1.06956876749881e-11	7.54535113144972e-11
"AAK1"	3010.78234376559	3071.90599247317	2963.91368026895	0.964781552985352	-0.0517257723000491	0.262475258255148	0.335418070401827
"AAMDC"	1132.18812763673	1302.32964973125	1001.72625380453	0.770137623151721	-0.376811817265259	2.81677215581195e-11	1.8696870600497e-10
"AAMP"	6162.02161547286	6202.73555594838	6130.8027989245	0.988387182511489	-0.016851793090568	0.608575264053024	0.679395138463015
