"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"FDR"
"A1BG"	19.3160169970773	15.4052083902844	24.4162881294387	0.49238753230286	-1.02213386294427	1.89536258977223e-17	3.04405962739193e-16
"A1BG.AS1"	74.7150155579131	74.1332833187094	75.4736801832341	0.886550747235704	-0.17372487979289	0.0200392911296809	0.0345717096669043
"A1CF"	2665.81938934107	3458.86547900999	1631.570341524	1.88315244038965	0.913149790229632	5.71509008124422e-10	3.40560179829101e-09
"A2M"	100533.16743127	111085.865527411	86770.8929556573	1.13638705933802	0.184454307974869	0.00832935897217009	0.015753394951939
"A2M.AS1"	136.107202928662	142.184016388427	128.182142057172	0.992909695652859	-0.0102655831338316	0.859609285902796	0.900430577023814
"A2ML1"	13.151541859511	9.97262058044175	17.2973239884354	0.46356647021666	-1.10915187496559	1.24960961826398e-13	1.24278337738149e-12
"A2MP1"	28.6093118505522	28.9046518697474	28.2241449130764	0.929442014419455	-0.105563233098142	0.280049633282719	0.353920993243121
"A3GALT2"	6.27277056071492	6.61776276371243	5.82284985357992	0.970196759910017	-0.0436507334019994	0.74712637234658	0.80507486659749
"A4GALT"	3876.78183828312	3987.85703450018	3731.92340266364	0.931568290223862	-0.102266562589953	0.078688580699628	0.117075478120883
"A4GNT"	60.0438752123828	66.1255707814881	52.1124473503698	1.16296525173119	0.217807991132703	0.104372415544333	0.1500718718465
"AA06"	0.0298196592601252	0.0160140759494013	0.0478241757436961	0.785772803355122	-0.347815859826445	0.0287462838575099	0.0478283321887033
"AAAS"	2215.68693245826	2127.05158041903	2331.28050216841	0.796036505084539	-0.329093502690264	1.66434778481438e-23	5.8422199364506e-22
"AACS"	1560.57508663626	1576.61613044609	1539.65520000869	0.922400820686468	-0.116534298289946	0.0192070063690909	0.0333006984137831
"AACSP1"	130.654288489768	140.962470181833	117.210899462789	1.05197948868991	0.0731065754915901	0.577306696339669	0.652670381570164
"AADAC"	20.8917046351121	5.90959400460783	40.4305862407927	0.119281122285885	-3.06756235813708	1.95130956664032e-20	4.60388280345815e-19
"AADACL2"	0.406769729320985	0.364160994707338	0.462337802572885	0.774233124346254	-0.369160062498956	0.156384232668034	0.21370993391045
"AADACL3"	0.345932594703002	0.226002220979832	0.502339487623082	0.521236437359923	-0.939990154954797	0.00348895583649528	0.0071286906689396
"AADACL4"	1.21260745963851	1.02142914688065	1.46193217166834	0.687262192260177	-0.541067499031608	0.00978174246078567	0.0182081023251432
"AADACP1"	8.54321414984194	8.2238680825706	8.95968851407139	0.812230001873889	-0.300039776865125	0.0340675229054977	0.0555852921885047
"AADAT"	262.350408971678	261.159830640101	263.90309868521	0.874393983235867	-0.193644621125534	0.00168707926921196	0.0036853497360042
"AAED1"	1423.70348218525	1596.25373415647	1198.67250841633	1.17942346460065	0.238081801940128	2.85886448653355e-08	1.3229297802252e-07
"AAGAB"	1824.65725087201	1762.36477783787	1905.89582169534	0.822566325809773	-0.281796082837115	2.36540705300728e-09	1.28780340248082e-08
"AAK1"	3158.9969922227	3261.37541655451	3025.48042961486	0.985175144393949	-0.0215478652558683	0.64719848348104	0.717358210041047
"AAMDC"	1109.02260334075	1097.18008628475	1124.46699194374	0.79993345359337	-0.322048107592483	6.81010283804749e-09	3.46267754975003e-08
"AAMP"	6548.0006851691	6878.65707073959	6116.77599799653	1.00912854088406	0.0131099539136906	0.708425358147326	0.771000403165693
