"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"FDR"
"A1BG"	16.5030170075747	15.8042820799621	18.7274300340114	0.716572567121777	-0.480815281641444	3.19778111888404e-05	0.00010508225778057
"A1BG.AS1"	77.8132849919019	75.7741697315711	84.3047803619456	0.784546804668356	-0.350068576503828	7.34493691061243e-05	0.000224883384627637
"A1CF"	2561.02554615254	2987.27095201168	1204.07916236245	2.20972838114283	1.14386904506418	1.53919722658146e-10	1.20662774870441e-09
"A2M"	100392.367802203	106243.856524367	81764.2339802688	1.14082836442621	0.19008175708055	0.0194022567645711	0.0355358450471828
"A2M.AS1"	134.590046977343	140.240420842492	116.602159535081	1.07259841042115	0.101110020417813	0.152959509949677	0.217840058653375
"A2ML1"	12.6603306477615	12.4642085024509	13.2846827984292	0.876917295366367	-0.189487310588185	0.323782572612668	0.409635411578004
"A2MP1"	27.5091158189913	27.7472856946615	26.7509052973625	0.917200109825358	-0.12469156722063	0.288891145882466	0.37244560627445
"A3GALT2"	5.54708541026509	5.52127353576197	5.62925715753651	0.847700954852876	-0.238372682740618	0.133940541335147	0.194246430056607
"A4GALT"	3442.53758998509	3496.28508184006	3271.43318930916	0.922677969829799	-0.116100884064243	0.088967236667122	0.135933156242945
"A4GNT"	59.0879387273503	62.1120039556326	49.4608686886902	1.11175214175208	0.152835183994238	0.343866133689185	0.430755234787233
"AA06"	0.0301588889705966	0.0227226286481469	0.0538321213732577	0.801597180762076	-0.319050660340923	0.101689975617933	0.152694567931009
"AAAS"	2052.1934974551	2032.88992542722	2113.64615336035	0.843317885857728	-0.245851542126347	5.31826500752593e-11	4.48322021850735e-10
"AACS"	1499.42432093757	1488.38023113854	1534.58302882987	0.869526270144297	-0.201698479966908	0.000598916200387668	0.00153253195140104
"AACSP1"	114.88822633138	127.448333965942	74.9032965222692	1.45451876957519	0.540541913556357	0.000646540491757903	0.00164385990110389
"AADAC"	6.13766990203446	4.65422246587799	10.8602044006243	0.380858568210182	-1.39267274237288	3.08408191826321e-06	1.20248142045628e-05
"AADACL2"	0.423502444274268	0.366761470226117	0.604136554317464	0.604100252890801	-0.727140104366147	0.0208245160035577	0.0378621920124307
"AADACL3"	0.35192407552287	0.263869669638923	0.632244064896534	0.480471069124162	-1.05747853108435	0.00624286461844925	0.0128269571015854
"AADACL4"	1.27417099172244	1.15346085809523	1.65845004097601	0.658638348968831	-0.602441580135304	0.0137974829805954	0.0261317750791557
"AADACP1"	9.71460960192813	9.03331176142178	11.8835119015217	0.748026319663616	-0.418839061966763	0.00987722298450725	0.019381061041586
"AADAT"	244.245409761507	255.904607152678	207.128515314383	1.10716087027269	0.146864860676588	0.038372391289149	0.0650001984370282
"AAED1"	1493.31186556691	1571.63516042006	1243.9707342454	1.11131084380275	0.15226240816597	0.0028657046697406	0.00633717649773312
"AAGAB"	2087.84442580116	2132.31287555964	1946.27972794618	0.997403588677312	-0.00375070103046834	0.946929455905977	0.972121481529896
"AAK1"	3505.16347448926	3654.97259304973	3028.24820714537	1.08011156871606	0.111180341388773	0.047588983552408	0.0786998944376726
"AAMDC"	1134.20410642076	1148.32494403954	1089.25061418483	0.901660582584148	-0.149343641425396	0.00806766610369986	0.0161472064527729
"AAMP"	6736.26047057667	6978.87257406442	5963.90817782212	1.04061304662742	0.0574337002483868	0.157413066935914	0.223309250506982
"AANAT"	22.7938954951987	20.6468946719622	29.6288430700892	0.589077185025039	-0.763471416421924	4.8664382497109e-10	3.53443368680998e-09
"AAR2"	3032.33205602448	3114.49644002135	2770.76287027298	0.999203518951237	-0.00114953711226913	0.971089611076152	0.99149167790298
"AARD"	57.1555963617463	49.726261478029	80.806781725507	0.554624643577641	-0.850416373970888	3.75696364484141e-06	1.44361135737204e-05
"AARS"	8868.85818566633	8984.06021848639	8502.11409953273	0.959200165227428	-0.0600961876231627	0.248710546524027	0.328383530497384
"AARS2"	1299.14338194759	1335.16257282261	1184.47678347388	0.984624945892277	-0.0223538035583625	0.618583814065684	0.69759028927779
"AARSD1"	280.78650107673	281.039331790052	279.981617980191	0.874665014236711	-0.193197506323187	0.00225776612414333	0.00510808331304839
"AASDH"	794.154316168077	854.939843897316	600.644425140135	1.25838229052425	0.331570272661677	2.74514698851523e-14	4.07116145482173e-13
"AASDHPPT"	3037.23112539419	3251.0505062122	2356.5400690286	1.2399329100554	0.310262061782417	1.84096683483391e-12	2.01039511649992e-11
"AASS"	570.886770719438	622.533929209663	406.468752406521	1.34725137512283	0.430019059269407	7.26734303263853e-07	3.15638420196278e-06
"AATBC"	40.1730671553398	39.7505505345335	41.5181430032278	0.825274396923089	-0.277054211576246	0.016085888133716	0.030027647632576
"AATF"	3893.68040938359	3943.98812038172	3733.52650372898	0.945546054834099	-0.0807803654668341	0.0593192242087044	0.0954835534908588
"AATK"	408.000492367847	426.239152096978	349.937970110887	1.02814712124268	0.0400467196880338	0.668674977279813	0.741803226125156
"ABALON"	48.0013062593861	49.3664062925172	43.6555290896936	1.03828563493935	0.0542033872628677	0.469756578535792	0.557971736207176
"ABAT"	1363.81244879134	1507.66294672737	905.866368205974	1.55423684609259	0.636206369026694	8.12617963429932e-08	4.10532777714571e-07
"ABCA1"	7605.81339541524	8054.12915591432	6178.60634134938	1.12282960281076	0.167139005358947	0.0412848085886001	0.0693939775614915
"ABCA10"	104.040447483502	105.178650508797	100.416993815819	0.891752629893613	-0.165284529495102	0.161933654930038	0.228875196494039
"ABCA11P"	61.889422615401	62.9228236069348	58.5996047799678	0.928071847549756	-0.10769159762569	0.181442611144467	0.251776004862091
"ABCA12"	564.621411942906	579.647845797561	516.784966552397	1.01324217980092	0.01897904071318	0.904619595031828	0.939030705488744
"ABCA13"	20.1711166368804	14.4222948321769	38.4724117399274	0.416454399057619	-1.26376956293434	1.68046476314925e-09	1.11890333956848e-08
"ABCA17P"	141.902361224432	125.382989466412	194.491553885285	0.577721254633153	-0.791554521812633	2.94606638605748e-07	1.35710414566198e-06
"ABCA2"	4666.71994005038	4819.77295817899	4179.47776307214	1.00498866113991	0.00717922418081177	0.909972874555827	0.943263150527468
"ABCA3"	4070.01251341565	4130.45229257291	3877.60330820859	0.938189446272042	-0.0920488228923349	0.181544423021843	0.251868344499776
"ABCA4"	87.0950371809692	90.9476323352377	74.8303535247201	1.05029876843821	0.0707997759224721	0.700491125066837	0.769124690000925
"ABCA5"	1879.52066393824	2031.049700899	1397.13006003563	1.25083353709509	0.322889806140975	8.71357716205072e-06	3.15254973224662e-05
"ABCA6"	250.887286532236	272.123454295763	183.282238697888	1.22282758488765	0.290221002424001	0.105675419660689	0.157727594863394
"ABCA7"	776.004511960162	716.517272371062	965.381320560322	0.643471703058557	-0.636051388173634	9.1170805508181e-14	1.23773120265864e-12
"ABCA8"	458.708000885907	509.903956125097	295.72638191344	1.55134170617448	0.633516496500711	4.1570599347007e-05	0.000133687891071656
"ABCA9"	140.344943296966	138.510553409959	146.184698258356	0.817326288129394	-0.291015957407703	0.0252240679805681	0.0447995313376485
"ABCA9.AS1"	2.22958972369605	2.16005626766421	2.45094852409102	0.762211049014695	-0.391737573272087	0.0440632968618201	0.0735020984780146
"ABCB1"	2286.75311585943	2439.643491569	1800.02870878401	1.25189383142236	0.324112217721711	0.0234961698348788	0.0420922719409387
"ABCB10"	1409.57819593805	1525.55417010453	1040.37027817871	1.31720400364495	0.397478802127846	3.60786009927489e-15	6.21152822737545e-14
"ABCB11"	3.70663878427573	4.14693162650844	2.3049725801037	1.61561013297041	0.692079099643561	0.0194166715987834	0.0355569073955802
"ABCB4"	425.765043643254	455.108161077318	332.351633096279	1.1351742723445	0.182913797557603	0.214571908951735	0.290348676620252
"ABCB5"	134.711117852621	102.004589640501	238.831900326066	0.343318589765472	-1.54238011747467	3.83536260082172e-06	1.47280821674243e-05
"ABCB6"	600.136316898921	602.295664795412	593.262062586241	0.890360270175171	-0.167538876982944	0.0498094462338277	0.0819497740976842
"ABCB7"	1560.64067037854	1697.80222910361	1123.98873572167	1.34801273621567	0.430834127371688	7.98818874738051e-18	2.15575058275547e-16
"ABCB8"	1502.25820074873	1463.86819409529	1624.47225862711	0.812991609763428	-0.298687631412588	8.62927069376656e-07	3.69462421630623e-06
"ABCB9"	308.90773793467	277.485446762148	408.940169465541	0.596551939003757	-0.745280342748824	1.19153375385426e-18	3.65184138932521e-17
"ABCC1"	6921.85622119111	7082.73061481276	6409.71480296438	0.977366329078101	-0.0330286912530402	0.609132255827178	0.689129591595244
"ABCC10"	960.000866413358	924.975225050434	1071.50451368799	0.755418040193988	-0.404652857591101	2.15464875669444e-15	3.87360435286055e-14
"ABCC11"	24.0805299133557	24.8744361840236	21.5531402260004	0.990213559541201	-0.0141883898319787	0.918812862843704	0.950649247293566
"ABCC12"	1.21752282065645	0.716765224584714	2.81167773659125	0.254703226889042	-1.97311085735092	1.34462532958409e-11	1.25251926462518e-10
"ABCC13"	5.53720369241322	4.96721983952273	7.35173944427563	0.57378045172864	-0.801429277485835	0.00271513139908618	0.00603538456602337
"ABCC2"	2137.9663967106	2186.85694688892	1982.32400302363	0.972324022514983	-0.0404909294344405	0.777997893139237	0.837087794291899
"ABCC3"	13236.8587041336	13024.8282810086	13911.8546383025	0.8028315192054	-0.316830836795846	0.00233885997116708	0.0052741843103556
"ABCC4"	5122.63540046053	5783.81344552941	3017.78419276418	1.74306872064013	0.801629448965802	7.17432963237666e-17	1.62210329667712e-15
"ABCC5"	2337.51022663844	2374.28567090419	2220.4361059025	0.948718997176941	-0.0759472588650724	0.367497240013622	0.455793729912166
"ABCC5.AS1"	1.54390526107406	1.4516536538366	1.83758698319697	0.733421278564153	-0.447285971687997	0.0323812735315769	0.0558917184856622
"ABCC6P2"	126.662971496159	129.255229046931	118.410555256544	0.962666711316128	-0.0548916915824064	0.664946980841031	0.738629594183519
"ABCC8"	20.2053406436265	17.2043118601732	29.7590744771887	0.500469140398823	-0.998646981602647	4.01799212586133e-08	2.13278798743501e-07
"ABCC9"	2247.69536061493	2370.33263976595	1857.28127010664	1.12954217636276	0.17573814102173	0.0868396810242333	0.133199676722238
"ABCD1"	2248.95325225317	2194.01330467004	2423.85381932974	0.794313067168846	-0.332220357755275	2.20835364565252e-09	1.43896889795243e-08
"ABCD2"	136.671519154315	135.932959254574	139.022714431474	0.913908996342077	-0.129877580657062	0.261635690937802	0.342851389381673
"ABCD3"	4033.61180770642	4378.41027005638	2935.95064774828	1.35386115227454	0.437079788250845	1.57509242222971e-13	2.03097012329366e-12
