geneid	genename	nns1	nns2	nns3	amp	gain	hetloss	hmdel	ovexpr	unexpr	meth	ncnv	nexpr	nmeth	sonc	ssup	score
1	A1BG	0	0	0	1	55	5	1	6	1	0	528	532	319	0.658606744133	0.188681932103	0.0
2	A2M	0	0	14	0	122	6	1	16	7	223	528	532	319	1.5037593985	0.752591706539	0.588573754274
3	A2MP1	0	0	0	0	121	7	1	0	0	0	528	532	319	0.0	0.094696969697	0.0
9	NAT1	0	0	1	0	20	146	5	15	2	0	528	532	319	1.40977443609	0.661454773297	0.495464349882
10	NAT2	0	0	5	0	20	146	6	21	0	308	528	532	319	1.97368421053	0.568181818182	0.980891177052
11	NATP	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
12	SERPINA3	0	0	6	0	15	226	1	17	0	160	528	532	319	1.5977443609	0.094696969697	0.676036595524
13	AADAC	0	0	0	0	0	1	0	1	0	0	528	532	319	0.093984962406	0.0	0.0
14	AAMP	1	1	4	4	69	42	3	34	17	33	528	532	319	3.57427660059	6.88183526999	-0.945142075045
15	AANAT	0	0	2	3	39	27	0	16	0	3	528	532	319	1.78785030759	0.0	0.838225948187
16	AARS	0	0	3	1	99	20	0	32	5	0	528	532	319	3.10221576669	0.46992481203	1.63329903283
17	AAVS1	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
18	ABAT	0	0	5	1	111	12	0	13	0	2	528	532	319	1.31650148098	0.0	0.396709144319
19	ABCA1	0	0	11	0	12	149	0	20	3	158	528	532	319	1.87969924812	0.281954887218	0.910501849161
20	ABCA2	0	0	5	1	15	153	2	19	7	0	528	532	319	1.88041125541	0.847288676236	0.911048221082
21	ABCA3	0	0	14	1	110	12	0	27	1	291	528	532	319	2.63229095466	0.093984962406	1.3963189631
22	ABCB7	0	0	5	0	23	48	3	17	5	0	528	532	319	1.5977443609	0.754015721121	0.676036595524
23	ABCF1	0	0	5	0	10	99	0	13	25	0	528	532	319	1.22180451128	2.34962406015	-0.943416471634
24	ABCA4	2	2	31	0	20	66	0	8	3	40	528	532	319	0.751879699248	10.2819548872	-3.36204268218
25	ABL1	1	1	8	0	13	153	1	15	7	58	528	532	319	1.40977443609	5.75259170654	-2.02874772787
26	AOC1	0	0	5	5	170	6	0	29	0	31	528	532	319	3.19904875826	0.0	1.67764298144
27	ABL2	0	0	13	2	60	33	1	29	7	74	528	532	319	2.91495784917	0.752591706539	1.54347502194
28	ABO	0	0	1	0	13	154	2	19	2	4	528	532	319	1.78571428571	0.377363864206	0.836501267717
29	ABR	0	0	3	3	25	49	0	13	3	248	528	532	319	1.50589542037	0.281954887218	0.590621582922
30	ACAA1	0	0	2	0	6	410	55	9	5	40	528	532	319	0.845864661654	5.67825814536	-2.50544843845
31	ACACA	0	1	24	3	29	30	0	30	4	173	528	532	319	3.10363978127	5.37593984962	-0.792555872895
32	ACACB	0	0	15	0	121	6	0	14	1	1	528	532	319	1.31578947368	0.093984962406	0.395928676331
33	ACADL	0	0	5	4	71	36	2	26	3	42	528	532	319	2.82239690134	0.471348826612	1.4969208821
34	ACADM	0	1	4	0	19	67	0	15	4	0	528	532	319	1.40977443609	5.37593984962	-1.93105264628
35	ACADS	0	0	0	0	121	6	0	7	0	0	528	532	319	0.657894736842	0.0	0.0
36	ACADSB	0	0	5	0	11	95	1	18	4	0	528	532	319	1.69172932331	0.470636819321	0.758498755716
37	ACADVL	0	0	2	0	26	51	1	19	9	0	528	532	319	1.78571428571	0.940561631351	0.836501267717
38	ACAT1	0	0	3	1	29	29	0	10	3	5	528	532	319	1.03454659376	0.281954887218	0.0489986225479
39	ACAT2	0	0	0	0	8	150	1	16	6	42	528	532	319	1.5037593985	0.658606744133	0.588573754274
40	ASIC2	0	0	5	1	29	32	1	23	1	0	528	532	319	2.25635110504	0.188681932103	1.1739915793
41	ASIC1	0	0	3	0	120	5	0	15	0	311	528	532	319	1.40977443609	0.0	0.495464349882
43	ACHE	0	0	2	4	171	1	0	17	1	0	528	532	319	1.97653223969	0.093984962406	0.982971487493
46	ACLS	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
47	ACLY	1	1	7	1	30	30	0	17	20	39	528	532	319	1.6924413306	6.87969924812	-2.02323967481
48	ACO1	0	0	8	0	13	149	0	11	7	0	528	532	319	1.03383458647	0.657894736842	0.0480053729108
49	ACR	0	0	0	0	41	39	1	21	1	297	528	532	319	1.97368421053	0.188681932103	0.980891177052
50	ACO2	0	0	2	0	43	39	0	22	0	19	528	532	319	2.06766917293	0.0	1.04800537291
51	ACOX1	0	0	5	3	39	27	0	25	2	0	528	532	319	2.63371496924	0.187969924812	1.39709922004
52	ACP1	0	0	3	0	77	14	0	23	4	0	528	532	319	2.16165413534	0.375939849624	1.11213571033
53	ACP2	0	0	2	0	33	16	0	27	3	319	528	532	319	2.53759398496	0.281954887218	1.34346125644
54	ACP5	0	0	2	1	47	12	0	10	3	92	528	532	319	1.03454659376	0.281954887218	0.0489986225479
55	ACPP	0	0	6	3	67	99	0	25	0	300	528	532	319	2.63371496924	0.0	1.39709922004
56	ACRV1	0	0	1	1	29	25	2	20	1	300	528	532	319	1.97439621782	0.2833789018	0.981411535955
58	ACTA1	0	0	2	1	56	42	0	13	0	0	528	532	319	1.31650148098	0.0	0.396709144319
59	ACTA2	0	0	3	0	11	96	0	16	3	308	528	532	319	1.5037593985	0.281954887218	0.588573754274
60	ACTB	0	0	0	1	174	2	0	26	4	24	528	532	319	2.53830599225	0.375939849624	1.34386599625
62	ACTBP2	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
63	ACTBP3	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
64	ACTBP4	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
66	ACTBP6	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
67	ACTBP7	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
68	ACTBP8	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
69	ACTBP9	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
70	ACTC1	0	0	1	0	26	39	0	20	0	0	528	532	319	1.87969924812	0.0	0.910501849161
71	ACTG1	0	0	1	3	41	27	0	25	10	2	528	532	319	2.63371496924	0.93984962406	1.39709922004
72	ACTG2	0	0	3	0	76	14	0	10	1	274	528	532	319	0.93984962406	0.093984962406	0.0
73	ACTG1P1	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
74	ACTG1P2	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
75	ACTG1P3	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
78	ACTG1P6	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
79	ACTG1P7	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
80	ACTG1P8	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
81	ACTN4	0	0	4	1	57	5	0	15	9	315	528	532	319	1.50447140579	0.845864661654	0.58925668685
82	ACTG1P9	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
83	ACTG1P10	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
86	ACTL6A	0	0	3	8	77	62	0	30	10	0	528	532	319	3.57712462976	0.93984962406	1.83880038381
87	ACTN1	0	0	6	1	15	224	3	29	2	12	528	532	319	2.82026087947	0.472060833903	1.49582862082
88	ACTN2	1	1	12	4	57	42	1	20	0	35	528	532	319	2.25848712691	5.0946969697	-1.17363964747
89	ACTN3	0	0	5	1	33	18	0	18	4	258	528	532	319	1.78642629301	0.375939849624	0.837076390324
90	ACVR1	0	0	1	0	79	14	0	23	8	2	528	532	319	2.16165413534	0.751879699248	1.11213571033
91	ACVR1B	0	0	22	0	120	5	0	42	3	0	528	532	319	3.94736842105	0.281954887218	1.98089117705
92	ACVR2A	0	0	15	0	80	14	0	17	8	57	528	532	319	1.5977443609	0.751879699248	0.676036595524
93	ACVR2B	0	0	2	0	6	410	55	25	0	79	528	532	319	2.34962406015	5.20833333333	-1.14839183989
94	ACVRL1	0	0	10	0	120	5	0	18	2	49	528	532	319	1.69172932331	0.187969924812	0.758498755716
95	ACY1	0	0	1	0	6	410	55	7	1	89	528	532	319	0.657894736842	5.30231829574	-2.40662327713
97	ACYP1	0	0	1	1	15	226	3	19	4	0	528	532	319	1.88041125541	0.660030758715	0.911048221082
98	ACYP2	0	0	1	0	78	15	0	18	1	235	528	532	319	1.69172932331	0.093984962406	0.758498755716
100	ADA	0	0	3	0	119	0	0	36	3	20	528	532	319	3.38345864662	0.281954887218	1.75849875572
101	ADAM8	0	0	3	0	12	97	1	16	4	125	528	532	319	1.5037593985	0.470636819321	0.588573754274
102	ADAM10	0	0	0	0	25	35	1	16	8	0	528	532	319	1.5037593985	0.846576668945	0.588573754274
103	ADAR	1	1	7	2	62	33	0	23	12	0	528	532	319	2.35104807473	6.12781954887	-1.38206977379
104	ADARB1	0	0	7	1	51	55	2	24	2	14	528	532	319	2.35033606744	0.377363864206	1.23286705814
105	ADARB2	0	0	2	0	18	65	1	3	0	204	528	532	319	0.281954887218	0.094696969697	0.0
106	ADCP1	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
107	ADCY1	0	0	7	0	173	2	0	18	1	0	528	532	319	1.69172932331	0.093984962406	0.758498755716
108	ADCY2	1	1	9	4	169	5	0	24	0	100	528	532	319	2.63442697653	5.0	-0.924438904569
109	ADCY3	0	0	7	0	77	14	0	24	8	304	528	532	319	2.25563909774	0.751879699248	1.17353625499
111	ADCY5	0	0	9	2	62	117	1	8	3	0	528	532	319	0.941273638642	0.376651856915	0.0
112	ADCY6	0	0	1	0	120	5	0	21	4	131	528	532	319	1.97368421053	0.375939849624	0.980891177052
113	ADCY7	0	0	4	0	99	22	0	24	3	47	528	532	319	2.25563909774	0.281954887218	1.17353625499
114	ADCY8	0	0	13	4	73	50	0	29	0	13	528	532	319	3.10435178856	0.0	1.63429205458
115	ADCY9	0	0	6	1	110	12	1	23	2	0	528	532	319	2.25635110504	0.282666894509	1.1739915793
116	ADCYAP1	0	0	0	0	27	92	0	6	0	0	528	532	319	0.563909774436	0.0	0.0
117	ADCYAP1R1	0	0	6	0	172	2	0	14	1	0	528	532	319	1.31578947368	0.093984962406	0.395928676331
118	ADD1	0	0	2	0	15	70	0	8	25	23	528	532	319	0.751879699248	2.34962406015	-1.23242994405
119	ADD2	0	1	9	0	77	14	1	30	0	0	528	532	319	2.81954887218	5.0946969697	-0.853531988203
120	ADD3	0	0	8	1	11	96	0	10	8	62	528	532	319	1.03454659376	0.751879699248	0.0489986225479
122	ADFN	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
123	PLIN2	0	0	6	0	16	152	0	11	4	103	528	532	319	1.03383458647	0.375939849624	0.0480053729108
124	ADH1A	0	0	0	1	11	73	0	2	0	283	528	532	319	0.282666894509	0.0	0.0
125	ADH1B	0	0	1	1	11	73	0	3	0	269	528	532	319	0.376651856915	0.0	0.0
126	ADH1C	0	0	2	1	11	73	0	4	0	260	528	532	319	0.470636819321	0.0	0.0
127	ADH4	0	0	0	1	11	73	0	2	0	27	528	532	319	0.282666894509	0.0	0.0
128	ADH5	0	0	4	1	11	73	0	10	7	0	528	532	319	1.03454659376	0.657894736842	0.0489986225479
130	ADH6	0	0	2	1	11	73	0	14	1	25	528	532	319	1.41048644338	0.093984962406	0.496192799805
131	ADH7	0	0	3	1	11	73	0	16	1	0	528	532	319	1.59845636819	0.093984962406	0.676679364544
132	ADK	0	0	2	0	12	91	1	11	1	1	528	532	319	1.03383458647	0.188681932103	0.0480053729108
133	ADM	0	0	0	0	34	17	0	24	3	0	528	532	319	2.25563909774	0.281954887218	1.17353625499
134	ADORA1	0	0	1	0	59	33	0	23	1	1	528	532	319	2.16165413534	0.093984962406	1.11213571033
135	ADORA2A	0	0	0	1	40	40	0	19	0	36	528	532	319	1.88041125541	0.0	0.911048221082
136	ADORA2B	0	0	0	0	26	45	1	28	2	0	528	532	319	2.63157894737	0.282666894509	1.39592867633
137	ADORA2BP1	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
140	ADORA3	0	0	1	0	20	64	0	25	7	252	528	532	319	2.34962406015	0.657894736842	1.23242994405
141	ADPRH	0	0	4	1	60	126	1	14	9	11	528	532	319	1.41048644338	0.940561631351	0.496192799805
142	PARP1	1	1	4	1	57	41	0	22	7	299	528	532	319	2.16236614263	5.65789473684	-1.38765450806
143	PARP4	0	0	4	1	20	78	1	22	13	61	528	532	319	2.16236614263	1.31650148098	0.715901683763
144	PARP1P1	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
145	PARP1P2	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
146	ADRA1D	0	0	4	1	111	9	0	7	1	277	528	532	319	0.752591706539	0.093984962406	0.0
147	ADRA1B	0	0	1	82	246	4	0	40	0	250	528	532	319	11.5245500114	0.0	3.52663851504
148	ADRA1A	0	0	3	0	20	147	6	26	2	287	528	532	319	2.44360902256	0.756151742994	1.28901347241
150	ADRA2A	0	0	1	0	11	96	0	25	2	312	528	532	319	2.34962406015	0.187969924812	1.23242994405
151	ADRA2B	0	0	6	0	76	14	0	17	1	298	528	532	319	1.5977443609	0.093984962406	0.676036595524
152	ADRA2C	0	0	0	0	15	70	0	19	4	299	528	532	319	1.78571428571	0.375939849624	0.836501267717
153	ADRB1	0	0	2	1	11	96	0	10	0	5	528	532	319	1.03454659376	0.0	0.0489986225479
154	ADRB2	0	0	3	78	244	3	0	9	2	0	528	532	319	8.23222829802	0.187969924812	3.04128299193
155	ADRB3	0	0	0	0	29	131	4	9	2	292	528	532	319	0.845864661654	0.5667578036	0.0
156	ADRBK1	0	0	2	1	33	18	0	21	6	252	528	532	319	2.06838118022	0.563909774436	1.04850208321
157	ADRBK2	0	0	4	1	40	40	0	17	2	0	528	532	319	1.6924413306	0.187969924812	0.759105822858
158	ADSL	0	0	3	0	42	39	0	15	7	0	528	532	319	1.40977443609	0.657894736842	0.495464349882
159	ADSS	0	0	6	1	57	42	0	21	2	275	528	532	319	2.06838118022	0.187969924812	1.04850208321
160	AP2A1	0	0	2	0	57	5	1	27	4	128	528	532	319	2.53759398496	0.470636819321	1.34346125644
161	AP2A2	0	0	3	1	34	19	0	22	8	114	528	532	319	2.16236614263	0.751879699248	1.11261082808
162	AP1B1	0	0	6	0	40	40	0	19	6	303	528	532	319	1.78571428571	0.563909774436	0.836501267717
163	AP2B1	0	0	5	2	29	32	0	23	9	1	528	532	319	2.35104807473	0.845864661654	1.23330403983
164	AP1G1	0	0	10	0	97	20	0	26	12	0	528	532	319	2.44360902256	1.12781954887	1.11547721742
165	AEBP1	0	0	6	0	173	2	0	31	0	271	528	532	319	2.91353383459	0.0	1.54277006466
166	AES	0	0	1	0	46	16	2	19	0	1	528	532	319	1.78571428571	0.189393939394	0.836501267717
167	CRISP1	0	0	2	0	0	1	0	13	3	0	528	532	319	1.22180451128	0.281954887218	0.289013472415
169	AF8T	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
170	AFA	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
171	AFD1	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
172	AFG3L1P	0	0	0	1	98	22	0	23	4	296	528	532	319	2.25635110504	0.375939849624	1.1739915793
173	AFM	0	0	3	1	14	66	0	13	0	313	528	532	319	1.31650148098	0.0	0.396709144319
174	AFP	0	0	6	1	14	66	0	12	1	304	528	532	319	1.22251651857	0.093984962406	0.289853958917
175	AGA	0	0	3	0	12	77	1	12	1	111	528	532	319	1.12781954887	0.188681932103	0.173536254995
176	ACAN	0	0	4	0	28	36	0	31	1	9	528	532	319	2.91353383459	0.093984962406	1.54277006466
177	AGER	0	0	1	0	10	100	0	22	3	0	528	532	319	2.06766917293	0.281954887218	1.04800537291
178	AGL	1	1	14	0	20	66	0	17	0	0	528	532	319	1.5977443609	5.0	-1.64589149936
179	AGMX2	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
181	AGRP	0	0	0	0	98	21	0	6	0	275	528	532	319	0.563909774436	0.0	0.0
182	JAG1	1	1	11	1	110	9	0	19	9	259	528	532	319	1.88041125541	5.84586466165	-1.63636820843
183	AGT	0	0	1	1	56	42	0	23	9	47	528	532	319	2.25635110504	0.845864661654	1.1739915793
185	AGTR1	0	0	4	3	75	74	0	23	1	0	528	532	319	2.44574504443	0.093984962406	1.29027401862
186	AGTR2	0	0	2	6	22	47	2	15	0	0	528	532	319	1.97795625427	0.189393939394	0.984010518896
187	APLNR	0	0	3	0	31	19	0	27	1	20	528	532	319	2.53759398496	0.093984962406	1.34346125644
189	AGXT	0	0	0	4	68	45	4	18	3	313	528	532	319	2.0705172021	0.660742766006	1.04999118883
190	NR0B1	0	0	0	1	29	46	2	15	0	0	528	532	319	1.50447140579	0.189393939394	0.58925668685
191	AHCY	0	0	1	0	119	0	0	27	1	0	528	532	319	2.53759398496	0.093984962406	1.34346125644
192	AIC	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
196	AHR	0	0	9	3	170	3	0	29	4	173	528	532	319	3.00965481887	0.375939849624	1.58959803195
197	AHSG	0	0	2	7	77	63	0	0	1	134	528	532	319	0.662878787879	0.093984962406	0.0
199	AIF1	0	0	1	0	10	100	0	17	6	243	528	532	319	1.5977443609	0.563909774436	0.676036595524
201	AIH3	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
202	AIM1	0	0	23	1	8	139	1	15	6	67	528	532	319	1.50447140579	0.658606744133	0.58925668685
203	AK1	0	0	0	0	13	152	0	11	0	307	528	532	319	1.03383458647	0.0	0.0480053729108
204	AK2	0	0	2	0	10	88	0	19	9	0	528	532	319	1.78571428571	0.845864661654	0.836501267717
205	AK4	0	0	0	0	18	67	0	21	15	148	528	532	319	1.97368421053	1.40977443609	0.48542682717
206	AK4P1	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
207	AKT1	0	0	1	0	15	224	2	16	30	317	528	532	319	1.5037593985	3.00894281157	-1.00068293258
208	AKT2	0	0	2	1	56	6	0	21	5	318	528	532	319	2.06838118022	0.46992481203	1.04850208321
210	ALAD	0	0	0	0	13	150	0	16	11	2	528	532	319	1.5037593985	1.03383458647	0.540568381363
211	ALAS1	0	0	1	0	6	410	55	0	3	0	528	532	319	0.0	5.49028822055	-2.45688188756
212	ALAS2	1	1	5	1	27	45	3	10	1	0	528	532	319	1.03454659376	5.3780758715	-2.3780914857
213	ALB	0	0	5	1	14	66	0	3	2	108	528	532	319	0.376651856915	0.187969924812	0.0
214	ALCAM	0	0	4	1	59	147	1	13	1	0	528	532	319	1.31650148098	0.188681932103	0.396709144319
